Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14
10:00,50,50,50,50,50,50,50,50,50,50,50,50,50,50
10:10,49,50,50,50,50,50,50,50,50,50,50,50,50,50
10:20,48,50,50,50,50,50,50,50,50,50,50,50,50,50
10:30,47,49,50,50,50,50,50,50,50,50,50,50,50,50
10:40,47,48,49,50,50,50,50,50,50,50,50,50,50,50
10:50,46,47,48,49,50,50,50,50,50,50,50,50,50,50
11:00,46,46,47,48,49,50,50,50,50,50,50,50,50,50
11:10,45,46,46,47,48,49,50,50,50,50,50,50,50,50
11:20,45,45,46,46,47,48,49,50,50,50,50,50,50,50
11:30,44,45,45,46,46,47,48,49,50,50,50,50,50,50
11:40,44,44,45,45,46,46,47,48,49,50,50,50,50,50
11:50,43,44,44,45,45,46,46,47,48,49,50,50,50,50
12:00,43,43,44,44,45,45,46,46,47,48,50,50,50,50
12:10,42,43,43,44,44,45,45,46,46,47,50,50,50,50
12:20,42,42,43,43,44,44,45,45,46,46,49,50,50,50
12:30,41,42,42,43,43,44,44,45,45,46,48,49,50,50
12:40,41,41,42,42,43,43,44,44,45,45,47,48,50,50
12:50,39,41,41,42,42,43,43,44,44,45,46,47,49,50
13:00,39,39,41,41,42,42,43,43,44,44,45,46,48,50
13:10,38,39,39,41,41,42,42,43,43,44,44,45,47,49
13:20,38,38,39,39,41,41,42,42,43,43,44,44,46,48
13:30,38,38,38,39,39,41,41,42,42,43,43,44,45,47
13:40,37,38,38,38,39,39,41,41,42,42,43,43,44,46
13:50,37,37,38,38,38,39,39,41,41,42,42,43,43,45
14:00,37,37,37,38,38,38,39,39,41,41,42,42,43,44
14:10,36,37,37,37,38,38,38,39,39,41,41,42,42,43
14:20,36,36,37,37,37,38,38,38,39,39,41,41,42,42
14:30,36,36,36,37,37,37,38,38,38,39,39,41,41,42
14:40,35,36,36,36,37,37,37,38,38,38,39,39,41,41
14:50,35,35,36,36,36,37,37,37,38,38,38,39,39,41
15:00,35,35,35,36,36,36,37,37,37,38,38,38,39,39
15:10,34,35,35,35,36,36,36,37,37,37,38,38,38,39
15:20,34,34,35,35,35,36,36,36,37,37,37,38,38,38
15:30,33,34,34,35,35,35,36,36,36,37,37,37,38,38
15:40,33,33,34,34,35,35,35,36,36,36,37,37,37,38
15:50,32,33,33,34,34,35,35,35,36,36,36,37,37,37
16:00,32,32,33,33,34,34,35,35,35,36,36,36,37,37
16:10,31,32,32,33,33,34,34,35,35,35,36,36,36,37
16:20,31,31,32,32,33,33,34,34,35,35,35,36,36,36
16:30,30,31,31,32,32,33,33,34,34,35,35,35,36,36
16:40,30,30,31,31,32,32,33,33,34,34,35,35,35,36
16:50,29,30,30,31,31,32,32,33,33,34,34,35,35,35
17:00,28,29,30,30,31,31,32,32,33,33,34,34,35,35
17:10,27,28,29,30,30,31,31,32,32,33,33,34,34,35
17:20,26,27,28,29,30,30,31,31,32,32,33,33,34,34
17:30,25,26,27,28,29,30,30,31,31,32,32,33,33,34
17:40,24,25,26,27,28,29,30,30,31,31,32,32,33,33
17:50,23,24,25,26,27,28,29,30,30,31,31,32,32,33
18:00,22,23,24,25,26,27,28,29,30,30,31,31,32,32
18:10,21,22,23,24,25,26,27,28,29,30,30,31,31,32
18:20,20,21,22,23,24,25,26,27,28,29,30,30,31,31
18:30,18,20,21,22,23,24,25,26,27,28,29,30,30,31
18:40,16,18,20,21,22,23,24,25,26,27,28,29,30,30
18:50,14,16,18,20,21,22,23,24,25,26,27,28,29,30
19:00,12,14,16,18,20,21,22,23,24,25,26,27,28,29
19:10,10,12,14,16,18,20,21,22,23,24,25,26,27,28
19:20,8,10,12,14,16,18,20,21,22,23,24,25,26,27
19:30,6,8,10,12,14,16,18,20,21,22,23,24,25,26
19:40,4,6,8,10,12,14,16,18,20,21,22,23,24,25
19:50,2,4,6,8,10,12,14,16,18,20,21,22,23,24
20:00,1,2,4,6,8,10,12,14,16,18,20,21,22,23
20:10,0,1,2,4,6,8,10,12,14,16,18,20,21,22
20:20,0,0,1,2,4,6,8,10,12,14,16,18,20,21
20:30,0,0,0,1,2,4,6,8,10,12,14,16,18,20
20:40,0,0,0,0,1,2,4,6,8,10,12,14,16,18
20:50,0,0,0,0,0,1,2,4,6,8,10,12,14,16
21:00,0,0,0,0,0,0,1,2,4,6,8,10,12,14
21:10,0,0,0,0,0,0,0,1,2,4,6,8,10,12
21:20,0,0,0,0,0,0,0,0,1,2,4,6,8,10
21:30,0,0,0,0,0,0,0,0,0,1,2,4,6,8
21:40,0,0,0,0,0,0,0,0,0,0,1,2,4,6
