Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14
8:30,50,50,50,50,50,50,50,50,50,50,50,50,50,50
8:40,49,50,50,50,50,50,50,50,50,50,50,50,50,50
8:50,48,49,50,50,50,50,50,50,50,50,50,50,50,50
9:00,47,48,49,50,50,50,50,50,50,50,50,50,50,50
9:10,46,47,48,50,50,50,50,50,50,50,50,50,50,50
9:20,45,46,47,49,50,50,50,50,50,50,50,50,50,50
9:30,44,45,46,48,49,50,50,50,50,50,50,50,50,50
9:40,43,44,45,47,48,49,50,50,50,50,50,50,50,50
9:50,42,43,44,46,47,48,49,50,50,50,50,50,50,50
10:00,41,42,43,45,46,47,48,49,50,50,50,50,50,50
10:10,40,41,42,44,45,46,47,48,49,50,50,50,50,50
10:20,39,40,41,43,44,45,46,47,48,49,50,50,50,50
10:30,38,39,40,42,43,44,45,46,47,48,49,50,50,50
10:40,38,38,39,41,42,43,44,45,46,47,48,49,50,50
10:50,37,38,38,40,41,42,43,44,45,46,47,48,49,50
11:00,37,37,38,39,40,41,42,43,44,45,46,47,48,49
11:10,36,37,37,38,39,40,41,42,43,44,45,46,47,48
11:20,36,36,37,38,38,39,40,41,42,43,44,45,46,47
11:30,35,36,36,37,38,38,39,40,41,42,43,44,45,46
11:40,35,35,36,37,37,38,38,39,40,41,42,43,44,45
11:50,34,35,35,36,37,37,38,38,39,40,41,42,43,44
12:00,33,34,35,36,36,37,37,38,38,39,40,41,42,43
12:10,32,33,34,35,36,36,37,37,38,38,39,40,41,42
12:20,31,32,33,35,35,36,36,37,37,38,38,39,40,41
12:30,30,31,32,34,35,35,36,36,37,37,38,38,39,40
12:40,29,30,31,33,34,35,35,36,36,37,37,38,38,39
12:50,28,29,30,32,33,34,35,35,36,36,37,37,38,38
13:00,27,28,29,31,32,33,34,35,35,36,36,37,37,38
13:10,26,27,28,30,31,32,33,34,35,35,36,36,37,37
13:20,25,26,27,29,30,31,32,33,34,35,35,36,36,37
13:30,24,25,26,28,29,30,31,32,33,34,35,35,36,36
13:40,23,24,25,27,28,29,30,31,32,33,34,35,35,36
13:50,22,23,24,26,27,28,29,30,31,32,33,34,35,35
14:00,21,22,23,25,26,27,28,29,30,31,32,33,34,35
14:10,20,21,22,24,25,26,27,28,29,30,31,32,33,34
14:20,19,20,21,23,24,25,26,27,28,29,30,31,32,33
14:30,18,19,20,22,23,24,25,26,27,28,29,30,31,32
14:40,16,18,19,21,22,23,24,25,26,27,28,29,30,31
14:50,14,16,18,20,21,22,23,24,25,26,27,28,29,30
15:00,12,14,16,19,20,21,22,23,24,25,26,27,28,29
15:10,10,12,14,18,19,20,21,22,23,24,25,26,27,28
15:20,8,10,12,16,18,19,20,21,22,23,24,25,26,27
15:30,6,8,10,14,16,18,19,20,21,22,23,24,25,26
15:40,4,6,8,12,14,16,18,19,20,21,22,23,24,25
15:50,2,4,6,10,12,14,16,18,19,20,21,22,23,24
16:00,1,2,4,8,10,12,14,16,18,19,20,21,22,23
16:10,0,1,2,6,8,10,12,14,16,18,19,20,21,22
16:20,0,0,1,4,6,8,10,12,14,16,18,19,20,21
16:30,0,0,0,2,4,6,8,10,12,14,16,18,19,20
16:40,0,0,0,1,2,4,6,8,10,12,14,16,18,19
16:50,0,0,0,0,1,2,4,6,8,10,12,14,16,18
17:00,0,0,0,0,0,1,2,4,6,8,10,12,14,16
17:10,0,0,0,0,0,0,1,2,4,6,8,10,12,14
17:20,0,0,0,0,0,0,0,1,2,4,6,8,10,12
17:30,0,0,0,0,0,0,0,0,1,2,4,6,8,10
17:40,0,0,0,0,0,0,0,0,0,1,2,4,6,8
17:50,0,0,0,0,0,0,0,0,0,0,1,2,4,6
18:00,0,0,0,0,0,0,0,0,0,0,0,1,2,4
18:10,0,0,0,0,0,0,0,0,0,0,0,0,1,2
18:20,0,0,0,0,0,0,0,0,0,0,0,0,0,1
